loan_id,age,gender,region,employment_status,employment_length,employer_tenure_years,home_ownership,annual_income,stated_income,verified_income,credit_score,open_accounts,delinq_2yrs,inquiries_6m,util,revol_bal,dti,loan_amount,term,purpose,application_type,grade,sub_grade,interest_rate,ip_risk_score,device_change_30d,has_document_mismatch,income_mismatch_ratio,default,fraud,application_date,issue_date,first_payment_date,days_to_fund
1,43,Male,Northland,Employed,16,5.5,Rent,111393.66,113509.84,112407.81,658,6,0,2,24.17,3416.27,15.58,17117.66,36,debt_consolidation,joint,E,E1,0.2520452722359956,33.4,2,0,1.01,0,0,2023-04-13,2023-04-16,2023-05-12,3
2,37,Male,Waikato,Employed,9,5.5,Mortgage,45223.44,46004.38,46080.79,702,2,0,0,34.52,14345.73,9.71,58271.25,60,small_business,individual,C,C5,0.156996618590455,21.5,3,0,1.0,0,0,2024-03-11,2024-03-12,2024-04-02,1
3,44,Male,Gisborne,Part-time,3,7.0,Own,47074.02,34708.49,44740.18,629,5,0,0,47.1,4286.28,19.28,3250.97,60,small_business,individual,E,E5,0.2464917171057385,13.4,2,0,0.78,0,0,2025-05-10,2025-05-19,2025-06-03,9
4,53,Male,Waikato,Employed,7,10.0,Rent,65920.31,54875.12,64162.08,684,11,0,1,77.92,3116.62,20.63,43423.73,36,medical,individual,D,D2,0.1894639519920647,28.6,1,0,0.86,0,0,2023-09-28,2023-10-11,2023-11-04,13
5,36,Male,Southland,Part-time,1,0.7,Own,109776.03,113771.49,118240.49,676,8,0,2,34.75,48956.11,20.99,26821.64,36,car,individual,D,D4,0.1820828268299917,53.6,1,1,0.96,0,0,2023-04-17,2023-04-24,2023-05-09,7
6,36,Female,Gisborne,Part-time,4,5.1,Rent,28592.22,36394.21,30249.85,764,11,0,2,26.3,3646.2,19.39,30626.07,60,medical,individual,B,B2,0.1251148399925154,56.4,0,0,1.2,0,0,2023-03-13,2023-03-14,2023-04-02,1
7,54,Female,Gisborne,Student,2,1.3,Own,88023.17,82028.36,81489.98,710,1,0,0,25.41,1772.94,19.75,19631.85,36,debt_consolidation,individual,C,C4,0.1753019528538393,12.1,4,0,1.01,0,0,2024-12-01,2024-12-04,2025-01-03,3
8,46,Female,West Coast,Employed,1,2.7,Own,49202.76,47727.28,48994.54,634,0,0,3,15.26,35813.41,13.87,4562.03,36,car,individual,E,E4,0.2389746330513314,11.3,0,0,0.97,0,0,2023-01-21,2023-01-25,2023-02-23,4
9,33,Male,Taranaki,Self-employed,3,4.9,Rent,53502.46,75236.14,57394.65,634,10,0,2,18.12,2332.07,19.25,4818.21,60,small_business,individual,E,E5,0.2594927533194447,45.5,1,0,1.31,0,0,2024-09-06,2024-09-10,2024-09-26,4
10,43,Male,Taranaki,Student,1,3.8,Rent,216011.73,213988.89,213674.26,660,13,0,1,6.39,1603.45,24.01,8345.85,60,debt_consolidation,individual,D,D2,0.2127454824956366,74.4,1,0,1.0,0,0,2023-05-02,2023-05-07,2023-05-30,5
11,33,Male,Northland,Unemployed,6,11.6,Rent,57772.09,59172.61,56995.22,586,2,0,2,24.6,13186.29,18.12,30234.7,60,education,individual,F,F4,0.274321511829395,27.7,1,0,1.04,0,0,2024-04-11,2024-04-25,2024-05-24,14
12,33,Other/Prefer not to say,Marlborough,Self-employed,3,7.7,Own,102227.79,104982.94,107813.2,666,11,1,1,45.61,2186.19,18.2,15610.29,36,vacation,individual,D,D4,0.2042080997222881,67.8,0,1,0.97,0,0,2023-08-03,2023-08-06,2023-08-27,3
13,40,Female,Bay of Plenty,Part-time,4,1.8,Own,100056.55,78134.06,104994.69,671,14,2,1,38.68,3534.73,10.16,14669.35,36,vacation,joint,D,D1,0.2021479461466754,45.5,2,0,0.74,0,0,2023-11-27,2023-11-30,2023-12-30,3
14,19,Female,West Coast,Self-employed,1,8.4,Rent,32020.39,37283.25,33517.83,708,9,0,0,23.28,5318.91,22.6,19475.94,36,education,individual,C,C1,0.149723235366351,0.0,0,0,1.11,0,0,2024-04-03,2024-04-04,2024-04-22,1
